Gene pairs|common Interactors|#PPI for first_partner_gene|#PPI for second_partner_gene|domain of first_partner_gene|domain of second_partner_gene|domain of fusions
CANT1 ETV4|No common interactors.|28|62|Apyrase|Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Ets-domain and PEA3 subfamily ETS-domain transcription factor N terminal domain.
CCDC6 RET|{'NTRK1', 'MAPK3', 'MAP3K1', 'PKM', 'CCNB1', 'CD2AP', 'PTCH1'}|92|428|Protein_of_unknown_function_DUF2046|Cadherin, Cadherin-like, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_Ret_receptor|Protein tyrosine kinase, Uncharacterized conserved protein H4 (DUF2046) and Protein family FAM199X.
CD74 ROS1|{'ITK', 'BTK', 'PDGFRB', 'IL22', 'TEK', 'FGF23', 'ABL1', 'TGFBR1', 'LCK', 'VAV3', 'CD80', 'FER', 'PTPRF', 'LIF', 'NCK2', 'FLT1', 'STAT3', 'JAK3', 'CNKSR3', 'BTLA', 'LILRB1', 'EGF', 'BCAR1', 'SHC1', 'EPHB2', 'PTPRC', 'TGFB1', 'CSF1R', 'LYN', 'LAIR1', 'FES', 'PLCG2', 'ZAP70', 'BLNK', 'CAV1', 'CD3E', 'MAP3K9', 'IL4R', 'FLNA', 'IRS1', 'FYN', 'FGFR1', 'NCK1', 'LILRB2', 'GHR', 'CTNNB1', 'PDGFRA', 'IL12RB1', 'KDR', 'SYK'}|515|216|MHC_class_II-associated_invariant_chain, MHC_class_II-associated_invariant_chain/CLIP_MHC_II-interacting, MHC_class_II-associated_invariant_chain_trimerisation, Thyroglobulin_type-1|Fibronectin_type_III, Fibronectin_type_III_domain, Immunoglobulin-like_fold, LDLR_class_B_repeat, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Six-bladed_beta-propeller_TolB-like, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site|CLIP, MHC2 interacting, Class II MHC-associated invariant chain trimerisation domain, Protein tyrosine kinase.
CHCHD7 PLAG1|No common interactors.|3|20|MTCP1|Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding|	Zinc-finger double domain, C2H2-type zinc finger, Zinc finger-C2H2 type, C2H2-type zinc finger and LIM domain.
COL1A1 PDGFB|{'THBS4', 'BMP6', 'THBD', 'SELP', 'EGFR', 'CD276', 'NRP1', 'GFI1', 'PLAT', 'COL4A1', 'PDGFRA', 'HSPG2', 'KLK3', 'PDGFRB', 'EGFL7', 'ACVRL1', 'ITGB4', 'BMP4', 'F2', 'TGFB1', 'BMP2', 'IGFBP7', 'CTGF', 'IGFBP4', 'DLL4', 'BMP10', 'TGFB2', 'ITGA11', 'FGFR1', 'IGFBP3', 'COL6A1', 'COL5A1', 'PLAU', 'CHRD', 'TGFBR1', 'GP6', 'ITGA2', 'PXDN', 'EPB41L5', 'PDGFB', 'PLEKHA1', 'CCL2', 'THBS3', 'THBS1', 'EPHA2', 'LAMA5', 'A2M', 'PLXND1', 'SKIL', 'PDGFA', 'VEGFC', 'COL1A1', 'TNC', 'SKI', 'GDF5', 'KDR', 'IL6R', 'CX3CL1', 'TGFB3', 'CDH13', 'FLT1', 'VTN', 'COL2A1', 'SHH', 'VWF', 'COL1A2', 'TIE1', 'SLIT2', 'SPARC', 'CYR61', 'GDF10', 'COL3A1', 'FLT4', 'TGFBR2', 'LTBP2', 'PLG', 'STAB1'}|416|187|Collagen_triple_helix_repeat, Fibrillar_collagen_C-terminal, von_Willebrand_factor_type_C|Platelet-derived_growth_factor_(PDGF), Platelet-derived_growth_factor_conserved_site, Platelet-derived_growth_factor_N-terminal|von Willebrand factor type C domain, Collagen triple helix repeat (20 copies), Erythroid krueppel-like transcription factor, transactivation 1, Platelet-derived growth factor, N terminal region, PDGF/VEGF domain.
COL1A2 PLAG1|{'SMAD3'}|209|20|Collagen_triple_helix_repeat, Fibrillar_collagen_C-terminal|Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding|C2H2-type zinc finger, Zinc-finger double domain, C2H2-type zinc finger, Zinc finger, C2H2 type.
CREB3L2 PPARG|{'FBXW7', 'CREBBP', 'EP300', 'UBC'}|19|367|Basic-leucine_zipper_(bZIP)_transcription_factor, bZIP_transcription_factor_bZIP-1, Eukaryotic_transcription_factor_Skn-1-like_DNA-binding|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Peroxisome_proliferator-activated_receptor, Peroxisome_proliferator-activated_receptor_gamma, Peroxisome_proliferator-activated_receptor_gamma_N-terminal, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|PPAR gamma N-terminal region, Zinc finger, C4 type (two domains), Ligand-binding domain of nuclear hormone receptor.
CRTC1 MAML2|{'EP300', 'CREBBP'}|19|10|No reults from fpclass database.|Neurogenic_mastermind-like_N-terminal|Transducer of regulated CREB activity middle domain, Transducer of regulated CREB activity, C terminus, Transducer of regulated CREB activity, N terminus, Enhancer of polycomb-like, Glycosyl transferase family 2, Pal1 cell morphology protein, Caldesmon, Unstructured region C-term to UIM in Ataxin3, WW domain-binding protein 1, Clathrin light chain, Androgen receptor, Domain of unknown function (DUF1980), EBP50, C-terminal, MDM2-binding, Enhancer of polycomb-like, Ryanodine Receptor TM 4-6, Coiled-coil domain-containing protein 24 family.
CRTC3 MAML2|No common interactors.|76|10|No results from fpclass database.|Neurogenic_mastermind-like_N-terminal|Transducer of regulated CREB activity, N terminus, Enhancer of polycomb-like, Glycosyl transferase family 2, High-temperature-induced dauer-formation protein, Unstructured region C-term to UIM in Ataxin3, WW domain-binding protein 1, BES1/BZR1 plant transcription factor, N-terminal, Senescence regulator.
EML4 ALK|{'NTRK1', 'TUBB2B', 'EML4', 'ILK', 'ALK'}|21|368|HELP, Quinonprotein_alcohol_dehydrogenase-like, WD40-repeat-containing_domain, WD40/YVTN_repeat-like-containing_domain, WD40_repeat, WD40_repeat-like-containing_domain, WD40_repeat_2, WD40_repeat_conserved_site, WD40_repeat_subgroup|Concanavalin_A-like_lectin/glucanase, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, MAM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site|SlyX, HELP motif, WD domain, G-beta repeat, Anaphase-promoting complex subunit 4 WD40 domain, Protein tyrosine kinase, Autophagy protein 16 (ATG16), Maltoporin periplasmic N-terminal extension.
ETV6 ABL1|{'PIAS1', 'AR', 'PTPN6', 'SUMO2', 'ACTA1', 'IL12B', 'SOCS3', 'NCOR2', 'HDAC6', 'SASH1', 'BRCA1', 'HDAC7', 'MITF', 'BCL6', 'MYC', 'CREBBP', 'SUMO1', 'HDAC1', 'RAD51', 'PTPN1', 'TOP2B', 'STAT5B', 'ZAK', 'RUNX1', 'BCR', 'INPPL1', 'USP7', 'TP73', 'DAXX', 'TCF3', 'HDAC4', 'ETS1', 'EPHA4', 'EPHB3', 'PML', 'SMAD9', 'SAMSN1', 'JAK2', 'EPHB4', 'CRKL', 'UBE2I', 'KAT5', 'EWSR1', 'TOP1', 'DNMT3B', 'JUN', 'BCL3', 'PDGFRB', 'GAB2', 'EP300', 'GRB2', 'PIN1', 'HIPK2', 'TP53', 'TRAF3', 'SHANK3', 'NFATC2', 'SOCS1', 'EPHA2', 'TNFRSF1A', 'MDM2', 'SMARCC1', 'ABL2', 'SP100', 'SUMO3', 'TOP2A'}|175|1137|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|F-actin_binding, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Src_homology-3_domain, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain|Sterile alpha motif (SAM)/Pointed domain, SH3 domain, SH2 domain, Protein tyrosine kinase, Facioscapulohumeral muscular dystrophy candidate 2, F-actin binding.
ETV6 ACSL6|{'ETV6', 'ACSL6'}|175|18|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|AMP-binding_conserved_site, AMP-dependent_synthetase/ligase|AMP-binding enzyme, AMP-binding enzyme C-terminal domain.
ETV6 NTRK3|{'CRKL', 'ACSL6', 'SOCS3', 'ELK1', 'SREBF2', 'ABL2', 'GAB2', 'EPHA4', 'EPHA2', 'JUN', 'GOLGA6A', 'BCR', 'STAT5B', 'JAK2', 'PTPN1', 'HIPK2', 'GRB2', 'PDGFRB', 'ZAK', 'EPHB4', 'SOCS1', 'EPHB3'}|175|348|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Cysteine-rich_flanking_region_C-terminal_domain, Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype, Leucine-rich_repeat, Leucine-rich_repeat-containing_N-terminal, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_neurotrophic_receptor, Tyrosine-protein_kinase_neurotrophic_receptor_type_3, Tyrosine-protein_kinase_receptor_class_II_conserved_site|Leucine rich repeat N-terminal domain, Leucine rich repeat, Leucine Rich Repeat, Tyrosine-protein kinase receptor C2 Ig-like domain, Immunoglobulin domain, Immunoglobulin I-set domain, Ets-domain, Sterile alpha motif (SAM)/Pointed domain, Protein tyrosine kinase.
ETV6 PRDM16|{'SMAD4', 'BCL6', 'SPDEF', 'MDM2'}|175|57|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|SET_domain, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding|Sterile alpha motif (SAM)/Pointed domain, SET domain, C2H2-type zinc finger, Zinc finger-C2H2 type, Zinc-finger double domain.
ETV6 RUNX1|{'KAT6A', 'CBFB', 'HDAC3', 'ERG', 'EPHB4', 'ETV6', 'HDAC7', 'NCOR1', 'MYC', 'GATA1', 'ETS1', 'CREBBP', 'ELK1', 'ETS2', 'PML', 'NCOR2', 'SUMO3', 'ELAVL1', 'SMAD4', 'BCL6', 'PIAS1', 'TCF3', 'MDM2', 'EP300', 'TP73', 'BCL3', 'SUMO1', 'STAT5B', 'AR', 'SMARCC1', 'HIPK2', 'TP53', 'RUNX1', 'UBE2I', 'EPHA2', 'NFATC2', 'SIN3A', 'HDAC9', 'JUN', 'HDAC4', 'MYH11', 'IRF1', 'HDAC6', 'BRCA1', 'HDAC1', 'MBD1', 'SOX2'}|175|271|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Acute_myeloid_leukemia_1_(AML_1)/Runt, Acute_myeloid_leukemia_1_protein_(AML_1)/Runt, p53-like_transcription_factor_DNA-binding, p53/RUNT-type_transcription_factor_DNA-binding_domain, Runx_inhibition, Transcription_factor_Runt-related_RUNX|Sterile alpha motif (SAM)/Pointed domain, Runt domain, Protein of unknown function (DUF3037), Runx inhibition domain.
EWSR1 ATF1|{'EP300', 'ELK1', 'CREB5', 'SRF', 'CEBPA', 'EDF1', 'SUMO1', 'FUS', 'JUN', 'UBTF', 'SMAD4', 'BAD', 'HMGA1', 'TRPV5', 'HNRNPA2B1', 'ESR1', 'HDAC2', 'EEF1B2', 'EWSR1', 'ATF1', 'CREBBP', 'TP53', 'CALM1', 'CDC37'}|732|130|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Basic-leucine_zipper_(bZIP)_transcription_factor, bZIP_transcription_factor_bZIP-1, cAMP_response_element_binding_(CREB)_protein, Coactivator_CBP_pKID|Uncharacterized conserved protein (DUF2367), Seminal vesicle protein repeat, Domain of unknown function (DUF4988), bZIP transcription factor, D-ala-D-ala dipeptidase, Putative Flp pilus-assembly TadE/G-like, pKID domain, Transcription factor IIA, alpha/beta subunit. 
EWSR1 ERG|{'SUMO1', 'CANX', 'ETV1', 'ETV6', 'PARP1', 'SMAD4', 'HNRNPD', 'PUF60', 'XRCC5', 'ILF2', 'HNRNPM', 'EZH2', 'SMAD1', 'HNRNPA2B1', 'ETS2', 'CUL3', 'HNRNPAB', 'RPL7A', 'HNRNPUL1', 'MATR3', 'MDM2', 'NPM1', 'CDC5L', 'HNRNPH1', 'EIF2S1', 'EP300', 'SFPQ', 'RPLP0', 'KAT5', 'NCOA3', 'HNRNPA1', 'FLI1', 'NONO', 'JUN', 'HNRNPH3', 'PRPF40A', 'NDRG1', 'HDAC2', 'HNRNPDL', 'PCBP1', 'RBM39', 'CREBBP', 'DDX21', 'ELAVL1', 'POLR2A', 'TP53', 'SPTAN1', 'ELF3'}|732|203|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Seminal vesicle protein repeat, Ets-domain, Ras-mediated vulval-induction antagonist, Merozoite surface antigen 2c, Growth arrest and DNA-damage-inducible proteins-interacting protein 1, Putative Flp pilus-assembly TadE/G-like, Uncharacterized conserved protein (DUF2367), Cysteine-rich TM module stress tolerance.
EWSR1 ETV4|{'SMAD1', 'EP300', 'MAML1', 'JUN', 'IRF3', 'ESR1', 'HDAC3', 'SAE1', 'TP53', 'USF1', 'TFAP2A', 'CREBBP', 'ELK1', 'ETV1', 'SRF', 'EWSR1', 'ETS2', 'SMAD4', 'NCOA3'}|732|62|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding|PEA3 subfamily ETS-domain transcription factor N terminal domain, Ets-domain.
EWSR1 FLI1|{'ETS2', 'ELK1', 'EWSR1', 'RASSF1', 'GATA1', 'JUN', 'ETV6', 'GTF2I', 'ELF3', 'NKX2-5', 'SNRPC', 'ZNF165', 'SMAD9', 'SUMO1', 'POLR2G', 'KAT5', 'CREBBP', 'BARD1', 'POU4F1', 'SMAD4', 'SF1', 'EP300', 'SRF'}|732|88|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Growth arrest and DNA-damage-inducible proteins-interacting protein 1, Putative Flp pilus-assembly TadE/G-like, Uncharacterized conserved protein (DUF2367), Seminal vesicle protein repeat, Cysteine-rich TM module stress tolerance, Ets-domain.
EWSR1 NFATC2|{'ETV6', 'KMT2A', 'EMD', 'YWHAZ', 'CACYBP', 'PRKCA', 'XRCC5', 'NCOA6', 'TFG', 'TP53', 'ARID1A', 'ESR1', 'MCM2', 'SIRT1', 'PSMA3', 'SMARCC2', 'RPA2', 'HLTF', 'GATA1', 'YWHAG', 'ACTL6A', 'PARP1', 'ETV4', 'ETS2', 'PELP1', 'ATF3', 'RPA3', 'SMARCE1', 'NCOA3', 'GSK3B', 'SMARCC1', 'MYBL2', 'ABL1', 'MDM2', 'MBD3', 'HDAC3', 'CREBBP', 'RPA1', 'RFC4', 'EP300', 'JUN', 'SMAD1', 'IRF3', 'HNRNPA1', 'HSPA5'}|732|310|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Cell_surface_receptor_IPT/TIG, Immunoglobulin-like_fold, Immunoglobulin_E-set, Nuclear_factor_of_activated_T_cells_(NFAT), p53-like_transcription_factor_DNA-binding, Rel_homology|Seminal vesicle protein repeat, Rel homology DNA-binding domain, Rel homology dimerisation domain, Transcription factor IIA, alpha/beta subunit.
EWSR1 NR4A3|{'NCOA3', 'EWSR1', 'ESR1', 'OTX1', 'POU5F1', 'TRIM28', 'NCOR1', 'TAF15', 'COPS5', 'EP300', 'CREBBP', 'FUS'}|732|86|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Orphan_nuclear_receptor, Orphan_nuclear_receptor_NOR1_type, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|Seminal vesicle protein repeat, Selenoprotein P, N terminal region, Zinc finger, C4 type (two domains), Ligand-binding domain of nuclear hormone receptor.
EWSR1 PATZ1|{'DVL2', 'SUMO1', 'TP53', 'ESR1', 'TCF20', 'EWSR1', 'GATA6', 'RBPMS', 'BARD1', 'TFE3', 'POU5F1', 'PATZ1', 'WT1', 'KAT5', 'NCOR1', 'NONO'}|732|130|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|AT_hook_DNA-binding_motif, BTB/POZ, BTB/POZ-like, BTB/POZ_fold, HMG-I/HMG-Y_DNA-binding_conserved_site, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding|Putative Flp pilus-assembly TadE/G-like, Uncharacterized conserved protein (DUF2367), Seminal vesicle protein repeat, AT hook motif, C2H2-type zinc finger, BED zinc finger, Zinc-finger double domain, Zinc finger, C2H2 type, Drought induced 19 protein (Di19), zinc-binding, Putative zinc ribbon domain, Putative zinc-finger between two C2H2 zinc-fingers on Patz.
EWSR1 WT1|{'TBP', 'EZH2', 'U2AF2', 'PITX1', 'TFAP2A', 'GATA1', 'CPSF7', 'HNRNPD', 'KAT5', 'RBM17', 'SUZ12', 'WT1', 'PUF60', 'IGF2BP2', 'MDM2', 'RHOXF2', 'SF1', 'CREBBP', 'SUMO1', 'SMAD4', 'EWSR1', 'TCERG1', 'TP53', 'NPM3', 'EP300', 'DVL2', 'SRSF11', 'PATZ1'}|732|153|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Wilm's_tumour_protein, Wilm's_tumour_protein_N-terminal, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding|Seminal vesicle protein repeat, Zinc finger-C2H2 type, Zinc-finger double domain, FOXP coiled-coil domain.
FIP1L1 PDGFRA|{'GSK3B', 'FGFR1', 'NTRK1', 'PDGFRB', 'RNPS1'}|74|438|Pre-mRNA_polyadenylation_factor_Fip1|Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_CSF-1/PDGF_receptor, Tyrosine-protein_kinase_receptor_class_III_conserved_site, Tyrosine-protein_kinase_vascular_endothelial_growth_factor_receptor_(VEGFR)_N-terminal|
FOXO1 PAX3|{'SIRT1', 'CTNNB1', 'HOXA5', 'TP53', 'CEBPB', 'RB1', 'CREBBP', 'GRB2', 'DLX5', 'NR4A1', 'PAX3', 'EP300', 'SATB2', 'CUX1', 'HDAC1', 'ETS1', 'MYOD1', 'PAX7', 'CDK1', 'HOXA11', 'DAXX', 'SRC', 'WWTR1', 'HOXD13', 'CASP3', 'HOXA10', 'AR', 'SATB1', 'BSX', 'FOXO1', 'MDM2', 'NCOR1'}|388|155|Transcription_factor_fork_head, Transcription_factor_fork_head_conserved_site, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Paired_box_protein_7, Paired_box_protein_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding|'Paired box' domain, Homeobox domain, Paired box protein 7, Forkhead domain, KIX-binding domain of forkhead box O, CR2, Transactivation domain of FOXO protein family.
FUS ATF1|{'CREBBP', 'USF2', 'EP300', 'RELA', 'TP53', 'CTNNB1', 'UBE2I', 'JUN', 'HNRNPA2B1', 'MAPK13', 'FUS', 'PIAS1', 'ESR1', 'ATF1', 'CHEK1', 'EWSR1', 'SPI1'}|515|130|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Basic-leucine_zipper_(bZIP)_transcription_factor, bZIP_transcription_factor_bZIP-1, cAMP_response_element_binding_(CREB)_protein, Coactivator_CBP_pKID|Seminal vesicle protein repeat, Sporulation protein YtfJ (Spore_YtfJ), Peroxisomal membrane anchor protein (Pex14p) conserved region, Domain of unknown function, bZIP transcription factor.
FUS DDIT3|{'CTNNB1', 'KPNA2', 'CREB3L1', 'GLUD1', 'PCM1', 'ATF1', 'CREBBP', 'TP53', 'DDX42', 'JUN', 'CUL1', 'ESR1', 'PICALM', 'CUL3', 'EP300'}|515|84|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Basic-leucine_zipper_(bZIP)_transcription_factor, Basic_leucine_zipper, DNA_damage-inducible_transcript_3|Seminal vesicle protein repeat, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), Zn-finger in Ran binding protein and others, Apidaecin, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain).
FUS ERG|{'HNRNPH1', 'SNRNP200', 'HNRNPU', 'HNRNPDL', 'ILF2', 'UBE2I', 'MATR3', 'PUF60', 'ACTB', 'SFPQ', 'HNRNPF', 'ILF3', 'ETV1', 'HNRNPH3', 'JUP', 'JUN', 'DDX5', 'ATP5A1', 'CDC5L', 'CUL3', 'POLR2A', 'PIAS1', 'SF3B2', 'HNRNPA2B1', 'HSP90AA1', 'TP53', 'FBL', 'HNRNPA1', 'CREBBP', 'TUBB', 'SPI1', 'SF3B3', 'EP300', 'NONO', 'HNRNPD', 'HNRNPM', 'DDX23', 'NPM1', 'HSPD1', 'CTNNB1', 'SF3B1', 'HNRNPC', 'PA2G4', 'HSPA8', 'KAT5', 'PRPF8', 'RBM39', 'EZH2'}|515|203|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Seminal vesicle protein repeat, Ets-domain.
GOLGA5 RET|{'POMK', 'RET'}|71|428|Golgin_subfamily_A_member_5|Cadherin, Cadherin-like, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_Ret_receptor|Clathrin-binding domain of Huntingtin-interacting protein 1, Spc7 kinetochore protein, Golgin subfamily A member 5, Protein tyrosine kinase.
HAS2 PLAG1|No common interactors.|6|20|Fungal_chitin_synthase, Glycosyl_transferase_family_2|Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding|Zinc-finger double domain, C2H2-type zinc finger, Zinc finger, C2H2 type, C2H2-type zinc finger.
HNRNPA2B1 ETV1|{'CTNNB1', 'PARP1', 'EWSR1', 'JUN', 'ELF5', 'MYC', 'PRKDC', 'ERG', 'UBA52', 'FUS', 'XRCC5', 'HNRNPA2B1', 'HIF1A', 'SMAD4', 'ESR1', 'HNRNPU'}|566|105|Nuclear_factor_hnRNPA1, Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain|Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding|PEA3 subfamily ETS-domain transcription factor N terminal domain, Ets-domain.
HOOK3 RET|{'FLNA', 'NOTCH1', 'CDC73', 'NTRK1'}|42|428|AT_hook-like, AT_hook_DNA-binding_motif, High_mobility_group_HMG-I/HMG-Y, HMG-I/HMG-Y_DNA-binding_conserved_site|Cadherin, Cadherin-like, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_Ret_receptor|HOOK protein, Protein tyrosine kinase, Osmosensory transporter coiled coil, Domain of unknown function (DUF4710).
KIF5B ALK|{'IKBKG', 'NTRK2', 'KRT18', 'BRAF', 'EIF3A', 'TUBA1A', 'ARRB2', 'TUBB', 'CBL', 'MAP3K5', 'ARRB1', 'MAP3K7', 'TUBB6', 'IGF1R', 'MARK2', 'ARAF', 'TUBA3C', 'SPTBN1', 'NTRK1', 'IRS2', 'YWHAE', 'VIM', 'CLK3', 'DYRK1A', 'YWHAZ', 'APP', 'HSP90AB1', 'TUBB2B', 'AFDN', 'MPRIP', 'TUBB4B', 'MAP3K3', 'TUBB4A', 'MAPK8IP3', 'HSPA8', 'RAF1', 'YWHAG', 'HSPD1'}|343|368|Kinesin_motor_domain, Kinesin_motor_region_conserved_site|Concanavalin_A-like_lectin/glucanase, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, MAM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site|Kinesin motor domain, cGMP-dependent protein kinase interacting domain, Protein of unknown function (DUF3584), Reovirus sigma C capsid protein, HAUS augmin-like complex subunit 3, TPR/MLP1/MLP2-like protein, Clathrin-binding domain of Huntingtin-interacting protein 1, Protein tyrosine kinase.
